英文原文	真实法文	模型预测法文
That's not very romantic.	Ce n'est pas très romantique.	Ce n'est pas très <unk>
I'm homesick.	J'ai le mal du pays.	Je suis <unk>
I'll be back at ten.	Je reviens à dix heures.	Je serai en train de retourner <unk>
Judging from her appearance, she seems to be very rich.	Si on en croit les apparences, elle doit être très riche.	L'avion a <unk> de son <unk> elle est très riche.
I will not help you.	Je ne t'aiderai pas.	Je ne vous <unk> pas.
Please wait here for a while.	S'il vous plaît, attendez un peu ici.	Veuillez attendre ici un moment.
I never thought they would accept me.	Je n'ai jamais cru qu'ils m'accepteraient.	Je n'ai jamais pensé qu'ils <unk>
They're able to sing.	Ils peuvent chanter.	Elles sont capables
How old were you when you got married?	Quel âge avais-tu quand tu t'es mariée ?	Quel âge avais-tu quand vous êtes marié ?
Elephants live in Asia and Africa.	Les éléphants vivent en Asie et en Afrique.	Les éléphants vivent dans la <unk> et <unk>
I'm not easily offended.	Je ne suis pas facilement offensée.	Je ne suis pas facilement offensé.
I just don't want you to misunderstand me.	Je ne veux pas que vous me compreniez de travers, un point c'est tout.	Je ne veux simplement pas que vous me <unk>
What time did he get there?	À quelle heure est-il arrivé là-bas ?	À quelle heure est-il allé là-bas ?
The child is suffering from the heat.	Le gosse souffre de la chaleur.	Le enfant est loin de la chaleur.
I think it's reliable.	Je pense que c'est fiable.	Je pense qu'il est fiable.
Are you afraid of the dark?	Avez-vous peur du noir ?	As-tu peur de la journée ?
My mother is busy preparing supper.	Ma mère est occupée à préparer le dîner.	Ma mère est occupée à préparer le dîner.
What time is sunrise?	À quelle heure est le lever du soleil ?	À quelle heure est <unk> ?
No one was on board the ship.	Personne ne se trouvait à bord du bateau.	Personne ne fut <unk> sur le navire.
When's dinner served?	Quand le souper est-il servi ?	Quand dîner ?
The boy opened the window, although his mother told him not to.	L'enfant ouvrit la fenêtre, bien que sa mère le lui eût défendu.	Le garçon ouvrit la fenêtre, <unk> sa mère lui a dit sa mère.
Gas was escaping from a crack in the pipe.	L'essence s'échappait d'une fissure dans le tube.	<unk> fut <unk> de <unk> dans le <unk>
Aren't you a little cold?	N'as-tu pas un petit peu froid?	N'es-tu pas un peu plus gros.
I already ate.	J'ai déjà mangé.	J'ai déjà <unk>
I don't feel safe here anymore.	Je ne me sens plus en sécurité ici.	Je n'ai plus le cœur ici.
My car is now being repaired.	Ma voiture est actuellement en réparation.	Ma voiture est maintenant en train d'être réparée.
Come to think of it, I really need a cellphone.	Réfléchis-y, j'ai vraiment besoin d'un téléphone cellulaire.	Venez penser à un point je dois vraiment une <unk>
This is Mary's dog.	Celui-ci, c'est le chien de Marie.	C'est la main de Mary.
Why are you picking a fight with me?	Pourquoi me cherches-tu querelle ?	Pourquoi êtes-vous <unk> avec moi ?
I paid for these tickets.	J'ai payé ces contraventions.	J'ai payé ces billets.
Are you real sure about that?	En êtes-vous vraiment sûres ?	Es-tu sûr de se produise ?
Give me the car keys.	Donnez-moi les clés de la voiture.	Donnez-moi la voiture de voiture.
I've got you.	Je vous ai eues.	Je t'ai eu.
I'd leave.	Je partirais.	Je <unk>
I'm all yours.	Je suis tout à toi.	Je suis tout le vôtre.
That's not really the point.	Ce n'est pas vraiment le sujet.	Ce n'est pas vraiment le sujet.
Why not just quit?	Pourquoi ne pas simplement démissionner ?	Pourquoi ne <unk> pas de la maison.
We love each other.	Nous nous aimons l'un l'autre.	Nous adorons les uns
Are there any questions?	Y a-t-il des questions ?	Y a-t-il de quelconques questions ?
I was only saying my prayers.	Je ne faisais que dire mes prières.	J'étais seulement mon père <unk>
I'm from America.	Je viens d'Amérique.	Je suis en Amérique.
Which team is ours?	Quelle équipe est la nôtre ?	Quelle équipe est <unk>
My bicycle is in need of repair.	Mon vélo a besoin de réparations.	Ma bicyclette est en <unk>
You don't sound entirely convinced.	À vous entendre, vous n'êtes pas complètement convaincue.	Vous n'avez pas l'air convaincues.
Someone ate all the cookies from the cookie jar.	Quelqu'un a mangé tous les biscuits du pot.	Quelqu'un a mangé toutes les gâteaux du <unk>
Don't go near the dog.	N'approchez pas du chien.	Ne t'approche pas près de la chien.
She came near to me.	Elle est venue près de moi.	Elle est venu de moi.
I want them all shot.	Je veux qu'elles soient toutes flinguées.	Je les veux toutes.
This food is gluten-free.	Cette nourriture est sans gluten.	Ce nourriture est <unk>
Do you understand her?	La comprenez-vous ?	Comprends-tu le <unk> ?
The picnic was canceled because of rain.	Le pique-nique a été annulé à cause de la pluie.	Le pique-nique était <unk> car de pleuvoir.
No one would've listened.	Personne n'aurait écouté.	Personne ne aurait <unk>
The bus was full.	Le bus était plein.	Le bus était plein.
You won't be shot.	Vous ne serez pas fusillé.	Vous ne serez pas <unk>
I'll help you.	Je vous aiderai.	Je vous aiderai.
Did you bring the book?	As-tu apporté le livre ?	Avez-vous reçu le livre ?
Let's see who can finish doing this first.	Voyons qui peut finir ceci en premier.	Voyons voir qui arrive faire ça faire ça !
Have you ever known them to come on time?	Les avez-vous déjà vus arriver à l'heure ?	As-tu jamais pensé de venir à l'heure ?
He was intrigued.	Il a été intrigué.	Il était <unk>
I wasn't even there.	Je n'y étais même pas.	Je n'étais pas là.
I don't know where to go.	Je ne sais pas où aller.	Je ne sais pas où aller.
I think you're interesting.	Je pense que vous êtes intéressants.	Je pense que vous êtes intéressant.
His reason for not going is still unclear.	Sa raison de ne pas y aller est encore obscure.	Sa raison de ne va pas encore <unk>
I didn't see much.	Je n'ai pas vu grand chose.	Je ne l'ai pas vu.
I have a few things to finish up before I go home.	J'ai quelques trucs à terminer avant d'aller à la maison.	J'ai quelques choses à finir avant d'aller chez moi.
You're supposed to help your friends when they're in trouble.	Tu es supposée aider tes amies lorsqu'elles ont des ennuis.	Tu dois aider tes amis lorsqu'ils sont des ennuis.
What would you like me to do with this?	Qu'aimerais-tu que je fasse avec ceci ?	Que voudrais-tu avec ça ?
Speaking English isn't easy.	Parler anglais n'est pas facile.	L'anglais n'est pas aisé.
You need to be prepared.	Il vous faut être préparé.	Il faut que vous soyez préparé.
He is fond of swimming.	Il aime la natation.	Il adore nager.
If he asks us for help, we'll help him.	S'il nous demande de l'aide, nous l'aiderons.	Si nous <unk> nous nous <unk> pour l'aider.
Better a little than nothing.	Il vaut mieux un peu que rien du tout.	Ce n'est qu'un peu rien.
The world economy is in recession now.	L'économie mondiale est maintenant en récession.	L'économie L'économie est en <unk> maintenant.
You're big.	Tu es grande.	Vous êtes grand.
Don't you think we deserve some answers?	Ne pensez-vous pas que nous méritions quelques réponses ?	Ne pensez-vous pas que nous soyons quelque chose de <unk>
I think that's a stupid idea.	Je pense que c'est une idée stupide.	Je pense que c'est une idée.
You can come.	Vous pouvez venir.	Tu peux venir.
You can leave the room now.	Tu peux quitter la pièce, maintenant.	Tu peux partir maintenant.
I don't know anybody here in this town.	Je ne connais personne ici dans cette ville.	Je ne sais pas ici dans cette ville.
I really appreciate your coming.	J'apprécie vraiment que vous soyez venus.	Je suis vraiment reconnaissant de votre venue.
I can't help doing that.	Je ne peux m’empêcher de faire cela.	Je ne peux pas faire ça.
I'm not your teacher.	Je ne suis pas ton professeur.	Je ne suis pas votre instituteur.
Tom has nowhere left to go.	Tom n'a nulle part où aller.	Tom a été laissée à partir.
Tom was very tired.	Tom était très fatigué.	Tom était très fatigué.
I'm not a criminal.	Je ne suis pas un criminel.	Je ne suis pas un <unk>
Don't let that happen again!	Ne laisse plus jamais cela arriver !	Ne laisse pas ça !
I am very sad.	Je suis très triste.	Je suis très triste.
You shouldn't trust Tom.	Tu ne devrais pas faire confiance à Tom.	Vous ne devriez pas vous fier à Tom.
Drugs can ruin your life.	La drogue peut détruire ta vie.	Les <unk> peuvent <unk> votre vie.
She got the money from him even though he said that he wouldn't give it to her.	Elle a réussi à obtenir l'argent de lui alors qu'il a dit qu'il ne lui donnerait pas.	Elle lui a eu l'argent de lui donner qu'il ne voulait pas <unk>
The old man begged me for money.	Le vieil homme me demanda l'aumône.	Le vieil homme m'a embrassé l'argent.
They didn't want me to examine it.	Ils ne voulurent pas que je l'examine.	Elles ne m'ont pas voulu le gérer.
Which one will they choose?	Lequel choisiront-ils ?	Lequel <unk> ?
They'll have to wait.	Ils devront attendre.	Elles disposent d'attendre.
She will be back within a week.	Elle sera de retour sous une semaine.	Elle sera revenu par semaine.
I haven't eaten anything since this morning.	Je n'ai rien mangé depuis ce matin.	Je n'ai rien mangé ce matin.
She turned down the radio.	Elle a baissé le son de la radio.	Elle éteignit le radio.
She is busy learning English.	Elle est occupée à apprendre l'anglais.	Elle est occupée l'anglais.
He can pull strings for you.	Il peut exercer son influence en votre faveur.	Il peut <unk>
How do these things work?	Comment ces choses fonctionnent-elles ?	Comment ces choses sont-elles ces trucs ?
I'm sure we all agree.	Je suis sûr que nous sommes tous d'accord.	Je suis sûr que nous sommes d'accord.
A piece of bread was not enough to satisfy his hunger.	Un morceau de pain n'était pas suffisant pour apaiser sa faim.	Un morceau de pain ne fut assez pas assez de <unk>
The president abolished slavery.	Le président a aboli l'esclavage.	Le président <unk>
She decided to take legal advice.	Elle décida de prendre conseil auprès d'un expert juridique.	Elle a décidé de prendre des conseils de conseils.
I suggest that you proceed very carefully.	Je suggère que tu procèdes très prudemment.	Je suggère que vous ayez très attentivement.
He fetched a few cushions to prop up her head.	Il a pris quelques coussins pour soutenir sa tête.	Il <unk> quelques <unk> à <unk> son <unk>
I don't feel like it.	Je n'en ai pas envie.	Je ne me sens pas comme ça.
Do you want this shirt?	Est-ce que vous voulez cette chemise ?	Veux-tu cette chemise ?
Why didn't you read the magazine?	Pourquoi n'avez-vous pas lu le magazine ?	Pourquoi ne m'as-tu pas lire le magazine ?
I think she's innocent.	Je pense qu'elle est innocente.	Je pense qu'elle est innocent.
We shall try to answer the following questions.	Nous essayerons de répondre aux questions suivantes.	Nous <unk> à répondre à répondre de la question.
You're very clever.	Tu es fort habile.	Vous êtes très intelligent.
I don't think Tom can deal with the situation.	Je ne pense pas que Tom puisse faire face à la situation.	Je ne pense pas que Tom puisse gérer la situation.
I love your apartment.	J'adore votre appartement.	J'adore votre appartement.
They're out of town.	Elles ne sont pas en ville.	Elles sont hors de ville.
I'm using that cup.	Je suis en train d'utiliser cette tasse.	Je fais usage de ce <unk>
I don't want to upset you.	Je ne veux pas vous contrarier.	Je ne veux pas vous <unk>
He can talk to spirits.	Il sait parler aux esprits.	Il peut parler à leur année.
I don't know who's involved.	J'ignore qui est impliqué.	Je ne sais pas qui est impliqué.
I think it's time for me to get a job.	Je pense qu'il est temps pour moi de trouver un emploi.	Je pense qu'il est temps pour moi de faire un travail.
Let me heat it up some leftovers for you.	Laissez-moi vous réchauffer quelques restes.	Laissez-moi le <unk> pour toi.
Be seated.	Asseyez-vous !	Sois <unk>
He lost his job.	Il perdit son emploi.	Il a perdu son travail.
I reconsidered your offer.	J'ai réévalué ta proposition.	J'ai <unk> votre offre.
Did you have a good time on your trip to London?	T'es-tu amusé lors de ton voyage à Londres ?	Avez-vous eu une bonne heure sur votre voyage ?
We are doing business with many countries.	Nous sommes en affaires avec de nombreux pays.	Nous faisons des affaires de nombreux pays.
We're just tired.	Nous sommes juste fatigués.	Nous sommes juste chanceux.
We've solved the problem.	Nous avons résolu le problème.	Nous avons résolu le problème.
I met him in Tokyo by chance.	Je l'ai rencontré par hasard à Tokyo.	Je l'ai rencontré dans le téléphone.
I understand why.	Je comprends pourquoi.	Je comprends pourquoi.
Nothing happened between us.	Rien ne s'est passé entre nous.	Rien ne nous <unk> entre nous.
Everyone was OK.	Tout le monde était sain et sauf.	Tout le monde était d'accord.
We have a lot of good restaurants here in Boston.	Nous avons beaucoup de bons restaurants ici à Boston.	Nous avons beaucoup de bonnes ici dans Boston.
